segment,source,metric,score
segment4,source4,precision_at_1,0.0
segment4,source4,recall_at_1,0.0
segment4,source4,f1_at_1,0.0
segment4,source4,accuracy_at_1,0.0
segment4,source4,precision_at_5,0.4
segment4,source4,recall_at_5,1.0
segment4,source4,f1_at_5,0.5714285714285715
segment4,source4,accuracy_at_5,0.4
segment4,source4,precision_at_10,0.7
segment4,source4,recall_at_10,1.0
segment4,source4,f1_at_10,0.8235294117647058
segment4,source4,accuracy_at_10,0.7
segment4,source4,precision_at_25,0.56
segment4,source4,recall_at_25,1.0
segment4,source4,f1_at_25,0.717948717948718
segment4,source4,accuracy_at_25,0.56
segment4,source4,precision_at_50,0.6388888888888888
segment4,source4,recall_at_50,0.71875
segment4,source4,f1_at_50,0.676470588235294
segment4,source4,accuracy_at_50,0.56
segment4,source4,precision_at_74,0.6388888888888888
segment4,source4,recall_at_74,0.4791666666666667
segment4,source4,f1_at_74,0.5476190476190476
segment4,source4,accuracy_at_74,0.4864864864864865
segment4,source4,first_correct_prediction,0
segment4,source4,first_incorrect_prediction,2
segment4,source2,precision_at_1,1.0
segment4,source2,recall_at_1,1.0
segment4,source2,f1_at_1,1.0
segment4,source2,accuracy_at_1,1.0
segment4,source2,precision_at_5,0.6
segment4,source2,recall_at_5,1.0
segment4,source2,f1_at_5,0.7499999999999999
segment4,source2,accuracy_at_5,0.6
segment4,source2,precision_at_10,0.7
segment4,source2,recall_at_10,1.0
segment4,source2,f1_at_10,0.8235294117647058
segment4,source2,accuracy_at_10,0.7
segment4,source2,precision_at_25,0.72
segment4,source2,recall_at_25,1.0
segment4,source2,f1_at_25,0.8372093023255813
segment4,source2,accuracy_at_25,0.72
segment4,source2,precision_at_50,0.66
segment4,source2,recall_at_50,1.0
segment4,source2,f1_at_50,0.7951807228915663
segment4,source2,accuracy_at_50,0.66
segment4,source2,precision_at_100,0.65
segment4,source2,recall_at_100,1.0
segment4,source2,f1_at_100,0.787878787878788
segment4,source2,accuracy_at_100,0.65
segment4,source2,precision_at_200,0.6242774566473989
segment4,source2,recall_at_200,0.864
segment4,source2,f1_at_200,0.7248322147651007
segment4,source2,accuracy_at_200,0.59
segment4,source2,precision_at_370,0.6242774566473989
segment4,source2,recall_at_370,0.45
segment4,source2,f1_at_370,0.5230024213075061
segment4,source2,accuracy_at_370,0.46756756756756757
segment4,source2,first_correct_prediction,3
segment4,source2,first_incorrect_prediction,0
segment4,source3,precision_at_1,1.0
segment4,source3,recall_at_1,1.0
segment4,source3,f1_at_1,1.0
segment4,source3,accuracy_at_1,1.0
segment4,source3,precision_at_5,0.8
segment4,source3,recall_at_5,1.0
segment4,source3,f1_at_5,0.888888888888889
segment4,source3,accuracy_at_5,0.8
segment4,source3,precision_at_10,0.5
segment4,source3,recall_at_10,1.0
segment4,source3,f1_at_10,0.6666666666666666
segment4,source3,accuracy_at_10,0.5
segment4,source3,precision_at_25,0.64
segment4,source3,recall_at_25,1.0
segment4,source3,f1_at_25,0.7804878048780487
segment4,source3,accuracy_at_25,0.64
segment4,source3,precision_at_50,0.66
segment4,source3,recall_at_50,1.0
segment4,source3,f1_at_50,0.7951807228915663
segment4,source3,accuracy_at_50,0.66
segment4,source3,precision_at_100,0.66
segment4,source3,recall_at_100,0.5076923076923077
segment4,source3,f1_at_100,0.5739130434782608
segment4,source3,accuracy_at_100,0.51
segment4,source3,precision_at_111,0.66
segment4,source3,recall_at_111,0.4583333333333333
segment4,source3,f1_at_111,0.540983606557377
segment4,source3,accuracy_at_111,0.4954954954954955
segment4,source3,first_correct_prediction,2
segment4,source3,first_incorrect_prediction,0
segment4,source1,precision_at_1,1.0
segment4,source1,recall_at_1,1.0
segment4,source1,f1_at_1,1.0
segment4,source1,accuracy_at_1,1.0
segment4,source1,precision_at_5,0.8
segment4,source1,recall_at_5,1.0
segment4,source1,f1_at_5,0.888888888888889
segment4,source1,accuracy_at_5,0.8
segment4,source1,precision_at_10,0.6
segment4,source1,recall_at_10,1.0
segment4,source1,f1_at_10,0.7499999999999999
segment4,source1,accuracy_at_10,0.6
segment4,source1,precision_at_25,0.56
segment4,source1,recall_at_25,1.0
segment4,source1,f1_at_25,0.717948717948718
segment4,source1,accuracy_at_25,0.56
segment4,source1,precision_at_50,0.66
segment4,source1,recall_at_50,1.0
segment4,source1,f1_at_50,0.7951807228915663
segment4,source1,accuracy_at_50,0.66
segment4,source1,precision_at_100,0.6333333333333333
segment4,source1,recall_at_100,0.8507462686567164
segment4,source1,f1_at_100,0.7261146496815286
segment4,source1,accuracy_at_100,0.57
segment4,source1,precision_at_185,0.6333333333333333
segment4,source1,recall_at_185,0.475
segment4,source1,f1_at_185,0.5428571428571427
segment4,source1,accuracy_at_185,0.4810810810810811
segment4,source1,first_correct_prediction,3
segment4,source1,first_incorrect_prediction,0
segment4,ALL_SOURCES,precision_at_1,1.0
segment4,ALL_SOURCES,recall_at_1,1.0
segment4,ALL_SOURCES,f1_at_1,1.0
segment4,ALL_SOURCES,accuracy_at_1,1.0
segment4,ALL_SOURCES,precision_at_5,1.0
segment4,ALL_SOURCES,recall_at_5,1.0
segment4,ALL_SOURCES,f1_at_5,1.0
segment4,ALL_SOURCES,accuracy_at_5,1.0
segment4,ALL_SOURCES,precision_at_10,0.7
segment4,ALL_SOURCES,recall_at_10,1.0
segment4,ALL_SOURCES,f1_at_10,0.8235294117647058
segment4,ALL_SOURCES,accuracy_at_10,0.7
segment4,ALL_SOURCES,precision_at_25,0.76
segment4,ALL_SOURCES,recall_at_25,1.0
segment4,ALL_SOURCES,f1_at_25,0.8636363636363636
segment4,ALL_SOURCES,accuracy_at_25,0.76
segment4,ALL_SOURCES,precision_at_50,0.62
segment4,ALL_SOURCES,recall_at_50,1.0
segment4,ALL_SOURCES,f1_at_50,0.7654320987654321
segment4,ALL_SOURCES,accuracy_at_50,0.62
segment4,ALL_SOURCES,precision_at_100,0.63
segment4,ALL_SOURCES,recall_at_100,1.0
segment4,ALL_SOURCES,f1_at_100,0.7730061349693252
segment4,ALL_SOURCES,accuracy_at_100,0.63
segment4,ALL_SOURCES,precision_at_200,0.63
segment4,ALL_SOURCES,recall_at_200,1.0
segment4,ALL_SOURCES,f1_at_200,0.7730061349693252
segment4,ALL_SOURCES,accuracy_at_200,0.63
segment4,ALL_SOURCES,precision_at_500,0.6332378223495702
segment4,ALL_SOURCES,recall_at_500,0.6884735202492211
segment4,ALL_SOURCES,f1_at_500,0.6597014925373135
segment4,ALL_SOURCES,accuracy_at_500,0.544
segment4,ALL_SOURCES,precision_at_740,0.6332378223495702
segment4,ALL_SOURCES,recall_at_740,0.46041666666666664
segment4,ALL_SOURCES,f1_at_740,0.5331724969843185
segment4,ALL_SOURCES,accuracy_at_740,0.47702702702702704
segment4,ALL_SOURCES,first_correct_prediction,5
segment4,ALL_SOURCES,first_incorrect_prediction,0
segment3,source1,precision_at_1,0.0
segment3,source1,recall_at_1,0.0
segment3,source1,f1_at_1,0.0
segment3,source1,accuracy_at_1,0.0
segment3,source1,precision_at_5,0.4
segment3,source1,recall_at_5,1.0
segment3,source1,f1_at_5,0.5714285714285715
segment3,source1,accuracy_at_5,0.4
segment3,source1,precision_at_10,0.6
segment3,source1,recall_at_10,1.0
segment3,source1,f1_at_10,0.7499999999999999
segment3,source1,accuracy_at_10,0.6
segment3,source1,precision_at_25,0.64
segment3,source1,recall_at_25,1.0
segment3,source1,f1_at_25,0.7804878048780487
segment3,source1,accuracy_at_25,0.64
segment3,source1,precision_at_50,0.62
segment3,source1,recall_at_50,1.0
segment3,source1,f1_at_50,0.7654320987654321
segment3,source1,accuracy_at_50,0.62
segment3,source1,precision_at_100,0.63
segment3,source1,recall_at_100,1.0
segment3,source1,f1_at_100,0.7730061349693252
segment3,source1,accuracy_at_100,0.63
segment3,source1,precision_at_200,0.6415094339622641
segment3,source1,recall_at_200,0.53125
segment3,source1,f1_at_200,0.5811965811965812
segment3,source1,accuracy_at_200,0.51
segment3,source1,precision_at_222,0.6415094339622641
segment3,source1,recall_at_222,0.4722222222222222
segment3,source1,f1_at_222,0.5439999999999999
segment3,source1,accuracy_at_222,0.4864864864864865
segment3,source1,first_correct_prediction,0
segment3,source1,first_incorrect_prediction,1
segment3,ALL_SOURCES,precision_at_1,0.0
segment3,ALL_SOURCES,recall_at_1,0.0
segment3,ALL_SOURCES,f1_at_1,0.0
segment3,ALL_SOURCES,accuracy_at_1,0.0
segment3,ALL_SOURCES,precision_at_5,0.4
segment3,ALL_SOURCES,recall_at_5,1.0
segment3,ALL_SOURCES,f1_at_5,0.5714285714285715
segment3,ALL_SOURCES,accuracy_at_5,0.4
segment3,ALL_SOURCES,precision_at_10,0.6
segment3,ALL_SOURCES,recall_at_10,1.0
segment3,ALL_SOURCES,f1_at_10,0.7499999999999999
segment3,ALL_SOURCES,accuracy_at_10,0.6
segment3,ALL_SOURCES,precision_at_25,0.64
segment3,ALL_SOURCES,recall_at_25,1.0
segment3,ALL_SOURCES,f1_at_25,0.7804878048780487
segment3,ALL_SOURCES,accuracy_at_25,0.64
segment3,ALL_SOURCES,precision_at_50,0.62
segment3,ALL_SOURCES,recall_at_50,1.0
segment3,ALL_SOURCES,f1_at_50,0.7654320987654321
segment3,ALL_SOURCES,accuracy_at_50,0.62
segment3,ALL_SOURCES,precision_at_100,0.63
segment3,ALL_SOURCES,recall_at_100,1.0
segment3,ALL_SOURCES,f1_at_100,0.7730061349693252
segment3,ALL_SOURCES,accuracy_at_100,0.63
segment3,ALL_SOURCES,precision_at_200,0.6415094339622641
segment3,ALL_SOURCES,recall_at_200,0.53125
segment3,ALL_SOURCES,f1_at_200,0.5811965811965812
segment3,ALL_SOURCES,accuracy_at_200,0.51
segment3,ALL_SOURCES,precision_at_222,0.6415094339622641
segment3,ALL_SOURCES,recall_at_222,0.4722222222222222
segment3,ALL_SOURCES,f1_at_222,0.5439999999999999
segment3,ALL_SOURCES,accuracy_at_222,0.4864864864864865
segment3,ALL_SOURCES,first_correct_prediction,0
segment3,ALL_SOURCES,first_incorrect_prediction,1
segment5,source1,precision_at_1,0.0
segment5,source1,recall_at_1,0.0
segment5,source1,f1_at_1,0.0
segment5,source1,accuracy_at_1,0.0
segment5,source1,precision_at_5,0.8
segment5,source1,recall_at_5,1.0
segment5,source1,f1_at_5,0.888888888888889
segment5,source1,accuracy_at_5,0.8
segment5,source1,precision_at_10,0.6
segment5,source1,recall_at_10,1.0
segment5,source1,f1_at_10,0.7499999999999999
segment5,source1,accuracy_at_10,0.6
segment5,source1,precision_at_25,0.72
segment5,source1,recall_at_25,1.0
segment5,source1,f1_at_25,0.8372093023255813
segment5,source1,accuracy_at_25,0.72
segment5,source1,precision_at_50,0.7
segment5,source1,recall_at_50,1.0
segment5,source1,f1_at_50,0.8235294117647058
segment5,source1,accuracy_at_50,0.7
segment5,source1,precision_at_100,0.72
segment5,source1,recall_at_100,1.0
segment5,source1,f1_at_100,0.8372093023255813
segment5,source1,accuracy_at_100,0.72
segment5,source1,precision_at_200,0.7103825136612022
segment5,source1,recall_at_200,0.9154929577464789
segment5,source1,f1_at_200,0.8
segment5,source1,accuracy_at_200,0.675
segment5,source1,precision_at_370,0.7103825136612022
segment5,source1,recall_at_370,0.5416666666666666
segment5,source1,f1_at_370,0.6146572104018913
segment5,source1,accuracy_at_370,0.5594594594594594
segment5,source1,first_correct_prediction,0
segment5,source1,first_incorrect_prediction,1
segment5,ALL_SOURCES,precision_at_1,0.0
segment5,ALL_SOURCES,recall_at_1,0.0
segment5,ALL_SOURCES,f1_at_1,0.0
segment5,ALL_SOURCES,accuracy_at_1,0.0
segment5,ALL_SOURCES,precision_at_5,0.8
segment5,ALL_SOURCES,recall_at_5,1.0
segment5,ALL_SOURCES,f1_at_5,0.888888888888889
segment5,ALL_SOURCES,accuracy_at_5,0.8
segment5,ALL_SOURCES,precision_at_10,0.7
segment5,ALL_SOURCES,recall_at_10,1.0
segment5,ALL_SOURCES,f1_at_10,0.8235294117647058
segment5,ALL_SOURCES,accuracy_at_10,0.7
segment5,ALL_SOURCES,precision_at_25,0.76
segment5,ALL_SOURCES,recall_at_25,1.0
segment5,ALL_SOURCES,f1_at_25,0.8636363636363636
segment5,ALL_SOURCES,accuracy_at_25,0.76
segment5,ALL_SOURCES,precision_at_50,0.7
segment5,ALL_SOURCES,recall_at_50,1.0
segment5,ALL_SOURCES,f1_at_50,0.8235294117647058
segment5,ALL_SOURCES,accuracy_at_50,0.7
segment5,ALL_SOURCES,precision_at_100,0.72
segment5,ALL_SOURCES,recall_at_100,1.0
segment5,ALL_SOURCES,f1_at_100,0.8372093023255813
segment5,ALL_SOURCES,accuracy_at_100,0.72
segment5,ALL_SOURCES,precision_at_200,0.7103825136612022
segment5,ALL_SOURCES,recall_at_200,0.9219858156028369
segment5,ALL_SOURCES,f1_at_200,0.8024691358024691
segment5,ALL_SOURCES,accuracy_at_200,0.68
segment5,ALL_SOURCES,precision_at_370,0.7103825136612022
segment5,ALL_SOURCES,recall_at_370,0.5416666666666666
segment5,ALL_SOURCES,f1_at_370,0.6146572104018913
segment5,ALL_SOURCES,accuracy_at_370,0.5594594594594594
segment5,ALL_SOURCES,first_correct_prediction,0
segment5,ALL_SOURCES,first_incorrect_prediction,1
segment2,source2,precision_at_1,0.0
segment2,source2,recall_at_1,0.0
segment2,source2,f1_at_1,0.0
segment2,source2,accuracy_at_1,0.0
segment2,source2,precision_at_5,0.8
segment2,source2,recall_at_5,1.0
segment2,source2,f1_at_5,0.888888888888889
segment2,source2,accuracy_at_5,0.8
segment2,source2,precision_at_10,0.5
segment2,source2,recall_at_10,1.0
segment2,source2,f1_at_10,0.6666666666666666
segment2,source2,accuracy_at_10,0.5
segment2,source2,precision_at_25,0.5882352941176471
segment2,source2,recall_at_25,0.6666666666666666
segment2,source2,f1_at_25,0.625
segment2,source2,accuracy_at_25,0.52
segment2,source2,precision_at_37,0.5882352941176471
segment2,source2,recall_at_37,0.4166666666666667
segment2,source2,f1_at_37,0.48780487804878053
segment2,source2,accuracy_at_37,0.43243243243243246
segment2,source2,first_correct_prediction,0
segment2,source2,first_incorrect_prediction,1
segment2,source1,precision_at_1,1.0
segment2,source1,recall_at_1,1.0
segment2,source1,f1_at_1,1.0
segment2,source1,accuracy_at_1,1.0
segment2,source1,precision_at_5,0.8
segment2,source1,recall_at_5,1.0
segment2,source1,f1_at_5,0.888888888888889
segment2,source1,accuracy_at_5,0.8
segment2,source1,precision_at_10,0.8
segment2,source1,recall_at_10,1.0
segment2,source1,f1_at_10,0.888888888888889
segment2,source1,accuracy_at_10,0.8
segment2,source1,precision_at_25,0.72
segment2,source1,recall_at_25,1.0
segment2,source1,f1_at_25,0.8372093023255813
segment2,source1,accuracy_at_25,0.72
segment2,source1,precision_at_50,0.64
segment2,source1,recall_at_50,1.0
segment2,source1,f1_at_50,0.7804878048780487
segment2,source1,accuracy_at_50,0.64
segment2,source1,precision_at_100,0.6724137931034483
segment2,source1,recall_at_100,0.5909090909090909
segment2,source1,f1_at_100,0.6290322580645162
segment2,source1,accuracy_at_100,0.54
segment2,source1,precision_at_111,0.6724137931034483
segment2,source1,recall_at_111,0.5416666666666666
segment2,source1,f1_at_111,0.6
segment2,source1,accuracy_at_111,0.5315315315315315
segment2,source1,first_correct_prediction,2
segment2,source1,first_incorrect_prediction,0
segment2,ALL_SOURCES,precision_at_1,1.0
segment2,ALL_SOURCES,recall_at_1,1.0
segment2,ALL_SOURCES,f1_at_1,1.0
segment2,ALL_SOURCES,accuracy_at_1,1.0
segment2,ALL_SOURCES,precision_at_5,0.6
segment2,ALL_SOURCES,recall_at_5,1.0
segment2,ALL_SOURCES,f1_at_5,0.7499999999999999
segment2,ALL_SOURCES,accuracy_at_5,0.6
segment2,ALL_SOURCES,precision_at_10,0.7
segment2,ALL_SOURCES,recall_at_10,1.0
segment2,ALL_SOURCES,f1_at_10,0.8235294117647058
segment2,ALL_SOURCES,accuracy_at_10,0.7
segment2,ALL_SOURCES,precision_at_25,0.68
segment2,ALL_SOURCES,recall_at_25,1.0
segment2,ALL_SOURCES,f1_at_25,0.8095238095238095
segment2,ALL_SOURCES,accuracy_at_25,0.68
segment2,ALL_SOURCES,precision_at_50,0.62
segment2,ALL_SOURCES,recall_at_50,1.0
segment2,ALL_SOURCES,f1_at_50,0.7654320987654321
segment2,ALL_SOURCES,accuracy_at_50,0.62
segment2,ALL_SOURCES,precision_at_100,0.6533333333333333
segment2,ALL_SOURCES,recall_at_100,0.7538461538461538
segment2,ALL_SOURCES,f1_at_100,0.7
segment2,ALL_SOURCES,accuracy_at_100,0.58
segment2,ALL_SOURCES,precision_at_148,0.6533333333333333
segment2,ALL_SOURCES,recall_at_148,0.5104166666666666
segment2,ALL_SOURCES,f1_at_148,0.5730994152046783
segment2,ALL_SOURCES,accuracy_at_148,0.5067567567567568
segment2,ALL_SOURCES,first_correct_prediction,2
segment2,ALL_SOURCES,first_incorrect_prediction,0
segment1,source2,precision_at_1,1.0
segment1,source2,recall_at_1,1.0
segment1,source2,f1_at_1,1.0
segment1,source2,accuracy_at_1,1.0
segment1,source2,precision_at_5,0.6
segment1,source2,recall_at_5,1.0
segment1,source2,f1_at_5,0.7499999999999999
segment1,source2,accuracy_at_5,0.6
segment1,source2,precision_at_10,0.7
segment1,source2,recall_at_10,1.0
segment1,source2,f1_at_10,0.8235294117647058
segment1,source2,accuracy_at_10,0.7
segment1,source2,precision_at_25,0.64
segment1,source2,recall_at_25,1.0
segment1,source2,f1_at_25,0.7804878048780487
segment1,source2,accuracy_at_25,0.64
segment1,source2,precision_at_50,0.6296296296296297
segment1,source2,recall_at_50,0.5
segment1,source2,f1_at_50,0.5573770491803278
segment1,source2,accuracy_at_50,0.46
segment1,source2,precision_at_74,0.6296296296296297
segment1,source2,recall_at_74,0.3541666666666667
segment1,source2,f1_at_74,0.45333333333333337
segment1,source2,accuracy_at_74,0.44594594594594594
segment1,source2,first_correct_prediction,1
segment1,source2,first_incorrect_prediction,0
segment1,source1,precision_at_1,1.0
segment1,source1,recall_at_1,1.0
segment1,source1,f1_at_1,1.0
segment1,source1,accuracy_at_1,1.0
segment1,source1,precision_at_5,0.6
segment1,source1,recall_at_5,1.0
segment1,source1,f1_at_5,0.7499999999999999
segment1,source1,accuracy_at_5,0.6
segment1,source1,precision_at_10,0.7
segment1,source1,recall_at_10,1.0
segment1,source1,f1_at_10,0.8235294117647058
segment1,source1,accuracy_at_10,0.7
segment1,source1,precision_at_25,0.68
segment1,source1,recall_at_25,1.0
segment1,source1,f1_at_25,0.8095238095238095
segment1,source1,accuracy_at_25,0.68
segment1,source1,precision_at_50,0.66
segment1,source1,recall_at_50,1.0
segment1,source1,f1_at_50,0.7951807228915663
segment1,source1,accuracy_at_50,0.66
segment1,source1,precision_at_100,0.6666666666666666
segment1,source1,recall_at_100,0.7575757575757576
segment1,source1,f1_at_100,0.7092198581560282
segment1,source1,accuracy_at_100,0.59
segment1,source1,precision_at_148,0.6666666666666666
segment1,source1,recall_at_148,0.5208333333333334
segment1,source1,f1_at_148,0.5847953216374269
segment1,source1,accuracy_at_148,0.5202702702702703
segment1,source1,first_correct_prediction,2
segment1,source1,first_incorrect_prediction,0
segment1,ALL_SOURCES,precision_at_1,1.0
segment1,ALL_SOURCES,recall_at_1,1.0
segment1,ALL_SOURCES,f1_at_1,1.0
segment1,ALL_SOURCES,accuracy_at_1,1.0
segment1,ALL_SOURCES,precision_at_5,0.6
segment1,ALL_SOURCES,recall_at_5,1.0
segment1,ALL_SOURCES,f1_at_5,0.7499999999999999
segment1,ALL_SOURCES,accuracy_at_5,0.6
segment1,ALL_SOURCES,precision_at_10,0.6
segment1,ALL_SOURCES,recall_at_10,1.0
segment1,ALL_SOURCES,f1_at_10,0.7499999999999999
segment1,ALL_SOURCES,accuracy_at_10,0.6
segment1,ALL_SOURCES,precision_at_25,0.68
segment1,ALL_SOURCES,recall_at_25,1.0
segment1,ALL_SOURCES,f1_at_25,0.8095238095238095
segment1,ALL_SOURCES,accuracy_at_25,0.68
segment1,ALL_SOURCES,precision_at_50,0.64
segment1,ALL_SOURCES,recall_at_50,1.0
segment1,ALL_SOURCES,f1_at_50,0.7804878048780487
segment1,ALL_SOURCES,accuracy_at_50,0.64
segment1,ALL_SOURCES,precision_at_100,0.65
segment1,ALL_SOURCES,recall_at_100,1.0
segment1,ALL_SOURCES,f1_at_100,0.787878787878788
segment1,ALL_SOURCES,accuracy_at_100,0.65
segment1,ALL_SOURCES,precision_at_200,0.6568627450980392
segment1,ALL_SOURCES,recall_at_200,0.5114503816793893
segment1,ALL_SOURCES,f1_at_200,0.575107296137339
segment1,ALL_SOURCES,accuracy_at_200,0.505
segment1,ALL_SOURCES,precision_at_222,0.6568627450980392
segment1,ALL_SOURCES,recall_at_222,0.4652777777777778
segment1,ALL_SOURCES,f1_at_222,0.5447154471544715
